tag,level,family,coverage,avg_set_size,multi_label_rate,empty_rate,non_singleton_rate,verdict_outside_set_rate,operational_abstain_rate,n,rep,aggregation,alpha,acc
rule_alpha0.1,coarse,gnss_chain,0.9,1.2666666666666666,0.23333333333333334,0.0,0.23333333333333334,0.0,0.23333333333333334,30,3,rule,0.1,0.7666666666666667
rule_alpha0.2,fine,gps_degrade,0.8,1.1666666666666667,0.16666666666666666,0.03333333333333333,0.2,0.2,0.36666666666666664,30,3,rule,0.2,0.4666666666666667
rule_alpha0.2,coarse,gnss_chain,0.8,1.0333333333333334,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,30,3,rule,0.2,0.7666666666666667
stacked_alpha0.1,fine,gps_degrade,0.9,1.0,0.0,0.0,0.0,0.0,0.0,30,3,stacked,0.1,0.9
stacked_alpha0.1,coarse,gnss_chain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30,3,stacked,0.1,1.0
stacked_alpha0.2,fine,gps_degrade,0.8333333333333334,0.9333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,30,3,stacked,0.2,0.9
stacked_alpha0.2,coarse,gnss_chain,0.9666666666666667,0.9666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,30,3,stacked,0.2,1.0
rule_alpha0.1,fine,gps_degrade,1.0,1.2,0.2,0.0,0.2,0.0,0.2,30,4,rule,0.1,0.8
rule_alpha0.1,coarse,gnss_chain,0.8666666666666667,1.0666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,30,4,rule,0.1,0.8666666666666667
rule_alpha0.2,fine,gps_degrade,0.8666666666666667,1.0666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,30,4,rule,0.2,0.8
rule_alpha0.2,coarse,gnss_chain,0.8666666666666667,1.0666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,30,4,rule,0.2,0.8666666666666667
stacked_alpha0.1,fine,gps_degrade,0.9666666666666667,1.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.06666666666666667,30,4,stacked,0.1,1.0
stacked_alpha0.1,coarse,gnss_chain,1.0,1.0333333333333334,0.03333333333333333,0.0,0.03333333333333333,0.0,0.03333333333333333,30,4,stacked,0.1,1.0
stacked_alpha0.2,fine,gps_degrade,0.8666666666666667,0.8666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,30,4,stacked,0.2,1.0
stacked_alpha0.2,coarse,gnss_chain,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30,4,stacked,0.2,1.0
